Date,Open,High,Low,Close,Volume,Num_deals,Value
2011-02-14,6626.89,6636.70,6586.54,6624.20,146591425,75476,3205845496.95
2010-12-14,6508.93,6532.35,6502.18,6523.01,160124118,75757,3289056250.70
2010-12-13,6461.40,6510.27,6440.43,6508.93,159841378,79785,4132395575.40
2010-12-12,6455.99,6464.50,6437.77,6461.40,122925697,69453,2997450289.15
2010-12-11,6457.18,6474.58,6441.97,6455.99,151315123,79378,3376319599.15
2010-12-08,6436.64,6461.82,6409.84,6457.18,140967571,76481,3408838131.60
2010-12-07,6400.80,6442.74,6397.69,6436.64,134581147,69608,3445243349.55
2010-12-06,6403.20,6422.03,6392.49,6400.80,117719420,65297,2874857596.15
2010-12-05,6421.86,6429.55,6377.07,6403.20,109590723,65092,2706289732.25
2010-12-04,6344.88,6424.78,6344.38,6421.86,138422438,66414,3464600469.20
2010-12-01,6318.50,6356.19,6315.74,6344.88,112671306,57641,2470729454.55
2010-11-30,6332.43,6333.84,6292.25,6318.50,85552456,47105,1748257239.50
2010-11-29,6309.97,6356.93,6309.97,6332.43,92285939,54393,2254079824.95
2011-02-13,6635.86,6649.09,6608.09,6626.89,142529155,72558,3275920325.00
2011-02-12,6611.60,6669.43,6610.22,6635.86,153767471,76330,3550939800.95
2011-02-09,6602.15,6620.40,6593.13,6611.60,137216437,69538,2887361409.20
2011-02-08,6616.41,6632.67,6581.82,6602.15,163671343,81963,3692543982.00
2011-02-07,6584.85,6623.20,6584.85,6616.41,164998453,76499,3470347921.60
2011-02-06,6531.28,6586.36,6531.05,6584.85,149375367,74067,3219176048.45
2011-02-05,6513.28,6548.20,6505.12,6531.28,127159028,63260,2822020942.45
2011-02-02,6373.17,6516.18,6373.17,6513.28,178329718,81628,4216774388.10
2011-02-01,6358.03,6403.31,6333.51,6373.17,125834895,65267,2968444326.40
2011-01-31,6421.97,6467.23,6296.42,6358.03,177353634,87082,4056509038.50
2011-01-30,6267.22,6443.75,6222.21,6421.97,200463233,100733,4857661947.15
2011-01-29,6697.80,6697.80,6247.72,6267.22,269651643,121508,6304065231.90
2010-11-28,6298.89,6335.19,6293.36,6309.97,100644921,57963,2368032657.80
2010-11-27,6291.30,6317.12,6276.50,6298.89,83411983,49332,1954976434.20
2010-11-24,6295.49,6299.06,6250.42,6291.30,103872026,58036,2431902044.10
2010-11-23,6363.20,6364.61,6283.74,6295.49,102032756,56143,2378710989.05
2010-11-22,6362.37,6386.26,6355.70,6363.20,94338185,51598,2242980755.50
2010-11-21,6383.69,6406.13,6348.93,6362.37,92457124,53220,2056509676.35
2010-11-20,6443.61,6461.96,6379.30,6383.69,79307203,47602,2177287445.70
2010-10-26,6329.89,6342.21,6295.73,6332.79,112443835,64958,2697786131.20
2010-10-25,6300.29,6333.54,6297.75,6329.89,104997702,64818,2575897131.90
2010-10-24,6286.97,6321.90,6280.75,6300.29,111071894,67004,2633250998.90
2010-10-23,6230.15,6289.66,6206.38,6286.97,113981653,80923,2524622261.80
