Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value
2009-03-29,4752.37,4785.53,4707.53,4728.55,275940069,4728.55,145847,4772261355
2009-03-28,4642.99,4757.71,4638.91,4752.37,258378782,4752.37,133586,4590831051
2009-03-25,4584.21,4644.08,4534.81,4642.99,206106564,4642.99,129996,3753685158
2009-03-24,4528.57,4646.98,4528.57,4584.21,306304150,4584.21,167595,5337768590
2009-03-23,4473.61,4530.83,4468.7,4528.57,247720169,4528.57,147288,4511846321
2009-03-22,4470.7,4503.84,4424.73,4473.61,260469149,4473.61,176379,5095587520
2009-03-21,4400.21,4471.66,4400.21,4470.7,193620921,4470.7,257656,3828541103
2009-03-18,4339.55,4422.08,4339.33,4400.21,195132942,4400.21,117405,3626852600
2009-03-17,4364.89,4364.89,4303.63,4339.55,173294388,4339.55,122237,3353669527
2009-03-16,4281.26,4371.44,4273.19,4364.89,205537357,4364.89,123742,3861709868
2009-03-15,4269.91,4291.65,4249.3,4281.26,179686179,4281.26,115908,3373842740
2009-03-14,4130.15,4273.95,4127.6,4269.91,251827891,4269.91,136667,4214834862
2009-03-11,4143.23,4219.37,4116.58,4130.15,215274135,4130.15,137729,3719897294
2009-03-10,4130.01,4149.24,4078.83,4143.23,195109947,4143.23,126450,3377883205
2009-03-09,4210.68,4217.71,4068.08,4130.01,193541749,4130.01,134977,3193523450
2009-03-08,4316.91,4317.28,4186.88,4210.68,171952497,4210.68,127240,2944033971
2009-03-07,4348.26,4355.89,4272.81,4316.91,179471788,4316.91,122587,3090186827
2009-03-04,4318.51,4360.83,4313.68,4348.26,191905450,4348.26,131925,3432776786
2009-03-03,4331.74,4331.74,4199.27,4318.51,199395558,4318.51,128662,3319343179
2009-03-02,4414.56,4439.8,4322.37,4331.74,172857851,4331.74,122121,3348767618
2009-03-01,4384.59,4450.72,4384.13,4414.56,191937876,4414.56,126344,3339047931
2009-02-28,4542.11,4542.11,4327.48,4384.59,208014776,4384.59,139318,3626236678
2009-02-25,4531.52,4621.86,4517.64,4542.11,194987288,4542.11,144083,3812623030
2009-02-24,4751.45,4751.45,4472.97,4531.52,254428557,4531.52,163618,4632193129
2009-02-23,4713.75,4783.12,4706.55,4751.45,254230341,4751.45,151626,4641150195
2009-02-22,4675.66,4713.77,4662.9,4713.75,202661989,4713.75,136423,3678410838
2009-02-21,4773.78,4773.78,4640.51,4675.66,197700167,4675.66,142473,3638716613
2009-02-18,4688.89,4773.92,4633.73,4773.78,246919514,4773.78,159971,4358392849
2009-02-17,4894.2,4896.32,4675.64,4688.89,282134138,4688.89,174450,4902117501
2009-02-16,4896.35,4916.09,4875.52,4894.2,242439232,4894.2,140171,4114322914
2009-02-15,4944.18,4971.04,4888.93,4896.35,328653272,4896.35,176772,5879909510
2009-02-14,4847.62,4944.18,4847.62,4944.18,277165103,4944.18,158639,5162745385
2009-02-11,4901.52,4901.52,4788.84,4847.62,285158473,4847.62,173527,6280867915
2009-02-10,4934.63,4975.4,4899.73,4901.52,393033441,4901.52,215391,7748716261
2009-02-09,4909.83,4934.67,4877.55,4934.63,276194645,4934.63,174243,5516679723
2009-02-08,4928.65,4955.78,4884.62,4909.83,386729429,4909.83,211321,7130594316
2009-02-07,4794.56,4929.27,4793.06,4928.65,363295106,4928.65,202655,6721006798
2009-02-04,4790.01,4836.84,4767.36,4794.56,335531312,4794.56,191030,5911925604
2009-02-03,4730.51,4793.84,4722.38,4790.01,295042796,4790.01,174344,5502995921
2009-02-02,4765.92,4776.78,4702.44,4730.51,230218971,4730.51,160687,4258081300
2009-02-01,4808.9,4836.53,4749.34,4765.92,244764773,4765.92,167046,4644245792
2009-01-31,4789.49,4866.5,4783.17,4808.9,277748750,4808.9,167032,5397473072
2009-01-28,4796.9,4803.88,4764.84,4789.49,229444936,4789.49,148728,4088769152
2009-01-27,4772.81,4872.86,4769.45,4796.9,326411843,4796.9,179155,5955354368
